repo,ecosystem,year_month,is_bot,event_count
angular/angular,Frontend,2023-01,0,2086
angular/angular,Frontend,2023-01,1,319
angular/angular,Frontend,2023-02,0,2433
angular/angular,Frontend,2023-02,1,388
angular/angular,Frontend,2023-03,0,2463
angular/angular,Frontend,2023-03,1,461
angular/angular,Frontend,2023-04,0,2759
angular/angular,Frontend,2023-04,1,552
angular/angular,Frontend,2023-05,0,2782
angular/angular,Frontend,2023-05,1,527
angular/angular,Frontend,2023-06,0,2526
angular/angular,Frontend,2023-06,1,473
angular/angular,Frontend,2023-07,0,2184
angular/angular,Frontend,2023-07,1,395
angular/angular,Frontend,2023-08,0,2507
angular/angular,Frontend,2023-08,1,407
angular/angular,Frontend,2023-09,0,2573
angular/angular,Frontend,2023-09,1,437
angular/angular,Frontend,2023-10,0,3059
angular/angular,Frontend,2023-10,1,626
angular/angular,Frontend,2023-11,0,5333
angular/angular,Frontend,2023-11,1,554
angular/angular,Frontend,2023-12,0,2320
angular/angular,Frontend,2023-12,1,694
angular/angular,Frontend,2024-01,0,3190
angular/angular,Frontend,2024-01,1,513
angular/angular,Frontend,2024-02,0,2996
angular/angular,Frontend,2024-02,1,554
angular/angular,Frontend,2024-03,0,3266
angular/angular,Frontend,2024-03,1,751
angular/angular,Frontend,2024-04,0,2799
angular/angular,Frontend,2024-04,1,635
angular/angular,Frontend,2024-05,0,3217
angular/angular,Frontend,2024-05,1,636
angular/angular,Frontend,2024-06,0,2747
angular/angular,Frontend,2024-06,1,529
angular/angular,Frontend,2024-07,0,2606
angular/angular,Frontend,2024-07,1,560
angular/angular,Frontend,2024-08,0,2283
angular/angular,Frontend,2024-08,1,496
angular/angular,Frontend,2024-09,0,2434
angular/angular,Frontend,2024-09,1,462
angular/angular,Frontend,2024-10,0,2421
angular/angular,Frontend,2024-10,1,540
angular/angular,Frontend,2024-11,0,2763
angular/angular,Frontend,2024-11,1,541
angular/angular,Frontend,2024-12,0,1913
angular/angular,Frontend,2024-12,1,553
ansible/ansible,Backend/DevOps,2023-01,0,1263
ansible/ansible,Backend/DevOps,2023-01,1,207
ansible/ansible,Backend/DevOps,2023-02,0,1409
ansible/ansible,Backend/DevOps,2023-02,1,199
ansible/ansible,Backend/DevOps,2023-03,0,1543
ansible/ansible,Backend/DevOps,2023-03,1,186
ansible/ansible,Backend/DevOps,2023-04,0,1497
ansible/ansible,Backend/DevOps,2023-04,1,345
ansible/ansible,Backend/DevOps,2023-05,0,1339
ansible/ansible,Backend/DevOps,2023-05,1,269
ansible/ansible,Backend/DevOps,2023-06,0,1291
ansible/ansible,Backend/DevOps,2023-06,1,224
ansible/ansible,Backend/DevOps,2023-07,0,1227
ansible/ansible,Backend/DevOps,2023-07,1,176
ansible/ansible,Backend/DevOps,2023-08,0,1344
ansible/ansible,Backend/DevOps,2023-08,1,174
ansible/ansible,Backend/DevOps,2023-09,0,1234
ansible/ansible,Backend/DevOps,2023-09,1,152
ansible/ansible,Backend/DevOps,2023-10,0,1543
ansible/ansible,Backend/DevOps,2023-10,1,181
ansible/ansible,Backend/DevOps,2023-11,0,1197
ansible/ansible,Backend/DevOps,2023-11,1,182
ansible/ansible,Backend/DevOps,2023-12,0,930
ansible/ansible,Backend/DevOps,2023-12,1,127
ansible/ansible,Backend/DevOps,2024-01,0,1250
ansible/ansible,Backend/DevOps,2024-01,1,186
ansible/ansible,Backend/DevOps,2024-02,0,1134
ansible/ansible,Backend/DevOps,2024-02,1,138
ansible/ansible,Backend/DevOps,2024-03,0,1148
ansible/ansible,Backend/DevOps,2024-03,1,145
ansible/ansible,Backend/DevOps,2024-04,0,1337
ansible/ansible,Backend/DevOps,2024-04,1,222
ansible/ansible,Backend/DevOps,2024-05,0,1173
ansible/ansible,Backend/DevOps,2024-05,1,164
ansible/ansible,Backend/DevOps,2024-06,0,1081
ansible/ansible,Backend/DevOps,2024-06,1,173
ansible/ansible,Backend/DevOps,2024-07,0,1111
ansible/ansible,Backend/DevOps,2024-07,1,190
ansible/ansible,Backend/DevOps,2024-08,0,1250
ansible/ansible,Backend/DevOps,2024-08,1,185
ansible/ansible,Backend/DevOps,2024-09,0,941
ansible/ansible,Backend/DevOps,2024-09,1,135
ansible/ansible,Backend/DevOps,2024-10,0,1153
ansible/ansible,Backend/DevOps,2024-10,1,144
ansible/ansible,Backend/DevOps,2024-11,0,1098
ansible/ansible,Backend/DevOps,2024-11,1,181
ansible/ansible,Backend/DevOps,2024-12,0,795
ansible/ansible,Backend/DevOps,2024-12,1,90
apache/spark,Backend/DevOps,2023-01,0,3458
apache/spark,Backend/DevOps,2023-01,1,65
apache/spark,Backend/DevOps,2023-02,0,3047
apache/spark,Backend/DevOps,2023-02,1,45
apache/spark,Backend/DevOps,2023-03,0,2902
apache/spark,Backend/DevOps,2023-03,1,44
apache/spark,Backend/DevOps,2023-04,0,2545
apache/spark,Backend/DevOps,2023-04,1,47
apache/spark,Backend/DevOps,2023-05,0,2723
apache/spark,Backend/DevOps,2023-05,1,65
apache/spark,Backend/DevOps,2023-06,0,2724
apache/spark,Backend/DevOps,2023-06,1,73
apache/spark,Backend/DevOps,2023-07,0,2877
apache/spark,Backend/DevOps,2023-07,1,91
apache/spark,Backend/DevOps,2023-08,0,3463
apache/spark,Backend/DevOps,2023-08,1,77
apache/spark,Backend/DevOps,2023-09,0,2890
apache/spark,Backend/DevOps,2023-09,1,65
apache/spark,Backend/DevOps,2023-10,0,2892
apache/spark,Backend/DevOps,2023-10,1,106
apache/spark,Backend/DevOps,2023-11,0,3066
